0:0:0:0:0:0:0:1 - - [10/May/2020:16:17:47 +0700] "GET /MyBatis_MySQL/sort/STUDENT_NAME HTTP/1.1" 200 7492
0:0:0:0:0:0:0:1 - - [10/May/2020:16:17:47 +0700] "GET /MyBatis_MySQL/sort/STUDENT_CODE HTTP/1.1" 200 7496
0:0:0:0:0:0:0:1 - - [10/May/2020:16:17:48 +0700] "GET /MyBatis_MySQL/sort/STUDENT_NAME HTTP/1.1" 200 7492
0:0:0:0:0:0:0:1 - - [10/May/2020:16:17:49 +0700] "GET /MyBatis_MySQL/sort/DATE_OF_BIRTH HTTP/1.1" 200 7499
0:0:0:0:0:0:0:1 - - [10/May/2020:16:17:49 +0700] "GET /MyBatis_MySQL/sort/ADDRESS HTTP/1.1" 200 7488
0:0:0:0:0:0:0:1 - - [10/May/2020:16:17:50 +0700] "GET /MyBatis_MySQL/sort/AVERAGE_SCORE HTTP/1.1" 200 7502
0:0:0:0:0:0:0:1 - - [10/May/2020:16:17:51 +0700] "GET /MyBatis_MySQL/sort/DATE_OF_BIRTH HTTP/1.1" 200 7499
0:0:0:0:0:0:0:1 - - [10/May/2020:16:17:52 +0700] "GET /MyBatis_MySQL/sort/STUDENT_NAME HTTP/1.1" 200 7492
0:0:0:0:0:0:0:1 - - [10/May/2020:16:18:15 +0700] "GET /MyBatis_MySQL/sort/STUDENT_NAME HTTP/1.1" 200 7492
0:0:0:0:0:0:0:1 - - [10/May/2020:16:18:19 +0700] "GET /MyBatis_MySQL/sort/STUDENT_NAME HTTP/1.1" 200 7492
0:0:0:0:0:0:0:1 - - [10/May/2020:16:18:20 +0700] "GET /MyBatis_MySQL/sort/STUDENT_NAME HTTP/1.1" 200 7492
0:0:0:0:0:0:0:1 - - [10/May/2020:16:18:21 +0700] "GET /MyBatis_MySQL/sort/STUDENT_NAME HTTP/1.1" 200 7492
0:0:0:0:0:0:0:1 - - [10/May/2020:16:18:22 +0700] "GET /MyBatis_MySQL/sort/STUDENT_NAME HTTP/1.1" 200 7492
0:0:0:0:0:0:0:1 - - [10/May/2020:16:18:22 +0700] "GET /MyBatis_MySQL/sort/STUDENT_NAME HTTP/1.1" 200 7492
0:0:0:0:0:0:0:1 - - [10/May/2020:16:18:23 +0700] "GET /MyBatis_MySQL/sort/ADDRESS HTTP/1.1" 200 7488
0:0:0:0:0:0:0:1 - - [10/May/2020:16:26:55 +0700] "GET /MyBatis_MySQL/sort/ADDRESS HTTP/1.1" 200 7219
0:0:0:0:0:0:0:1 - - [10/May/2020:16:29:54 +0700] "GET /MyBatis_MySQL/sort/DATE_OF_BIRTH HTTP/1.1" 200 7229
0:0:0:0:0:0:0:1 - - [10/May/2020:16:29:55 +0700] "GET /MyBatis_MySQL/sort/ADDRESS HTTP/1.1" 200 7219
0:0:0:0:0:0:0:1 - - [10/May/2020:16:29:55 +0700] "GET /MyBatis_MySQL/sort/AVERAGE_SCORE HTTP/1.1" 200 7235
0:0:0:0:0:0:0:1 - - [10/May/2020:16:30:05 +0700] "GET /MyBatis_MySQL/sort/AVERAGE_SCORE HTTP/1.1" 200 7235
0:0:0:0:0:0:0:1 - - [10/May/2020:16:30:35 +0700] "GET /MyBatis_MySQL/sort/AVERAGE_SCORE HTTP/1.1" 200 7355
